id_estabelecimento,projeto,fonte,nome,sigla,natureza,categoria,abrangencia,descricao,tipo_logradouro,nome_logradouro,numero,numero_sem_numero,complemento,bairro,municipio,cod_IBGE,uf,cep,ddd,telefone1,ramal1,telefone2,ramal2,whatsapp,email,24horas,horario_inicio,horario_fim,dias_funcionamento,presencial,online,funcionamento_pandemia,obs_pandemia,latitude,longitude,observacao
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Curuçá,DPE,público,Jurídico,Regional,,Rua,Gonçalo Ferreira,s/n,,,Centro,Curuçá,1502905,PA,68750000,,,,,,,,,,,,,,,,"-0,7276668","-47,8553054",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Dom Eliseu,DPE,público,Jurídico,Regional,,Rua,Jequié,s/n,,,Esplanada,Dom Eliseu,1502939,PA,68633000,91,993155543,,,,,,,,,,,,,,"-4,2983628","-47,5558202",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Eldorado dos Carajás,DPE,público,Jurídico,Regional,,Rua,Oziel Carneiro,s/n,,,Centro,Eldorado dos Carajás,1502954,PA,68524000,,,,,,,,,,,,,,,,"-6,1044639","-49,3763102",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Goianésia do Pará,DPE,público,Jurídico,Regional,,Praça,da Bíblia,s/n,,,Colegial,Goianésia do Pará,1503093,PA,68639000,91,984045474,,,,,,,,,,,,,,"-3,8400702","-49,10107259999999",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Igarapé-Açu,DPE,público,Jurídico,Regional,,Avenida,Barão do Rio Branco,s/n,,,Centro,Igarapé-Açu,1503200,PA,68725000,,,,,,,,,,,,,,,,"-10,4337315","-36,5380181",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Igarapé-Miri,DPE,público,Jurídico,Regional,,Travessa,Quintino Bocaiúva,s/n,,,Centro,Igarapé-Miri,1503309,PA,68130000,91,974007560,,,,,,,,,,,,,,"-1,9845976","-48,960508",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Ipixuna do Pará,DPE,público,Jurídico,Regional,,Avenida,Presidente Vargas,s/n,,,Centro,Ipixuna do Pará,1503457,PA,68637000,,,,,,,,,,,,,,,,"-2,5522883","-47,498605",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Itaituba,DPE,público,Jurídico,Regional,,Avenida,Manfredo Barata,788,,,Aeroporto Velho,Itaituba,1503606,PA,68181005,93,984086597,,,,,,,,,,,,,,"-4,2786167","-55,9926705",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Itupiranga,DPE,público,Jurídico,Regional,,Rua,São Salvador,194/256,,,Centro,Itupiranga,1503705,PA,68580000,91,985654415,,,,,,,,,,,,,,"-5,134441199999999","-49,3304542",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Jacundá,DPE,público,Jurídico,Regional,,Rua,Teotônio Vilela,45,,,Centro,Jacundá,1503804,PA,68590000,,,,,,,,,,,,,,,,"-4,446278","-49,1143779",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Juruti,DPE,público,Jurídico,Regional,,Travessa,Boa Ventura Bentes,528/614,,,Centro,Juruti,1503903,PA,68170000,93,984078607,,,,,,,,,,,,,,"-2,1633411","-56,0952985",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Limoeiro do Ajuru,DPE,público,Jurídico,Regional,,,,,,,,Limoeiro do Ajuru,1504000,PA,,,,,,,,,,,,,,,,,,,
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Mãe do Rio,DPE,público,Jurídico,Regional,,Travessa,Alfredo Chaves,610,,,Centro,Mãe do Rio,1504059,PA,68675000,,,,,,,,,,,,,,,,"-2,043037","-47,551934",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Magalhães Barata,DPE,público,Jurídico,Regional,,Avenida,Barão do Rio Branco,s/n,,,Centro,Magalhães Barata,1504109,PA,68725000,,,,,,,,,,,,,,,,"-0,7988426","-47,6019453",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Marabá,DPE,público,Jurídico,Regional,,Rodovia,BR 230,,,Km 01,Amapá,Marabá,1504208,PA,68502700,94,21038000,,981373051,,,,,,,,,,,,"-5,3730591","-49,1369998",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Melgaço,DPE,público,Jurídico,Regional,,Rua,12 de Outubro,s/n,,,Centro,Melgaço,1504505,PA,68490000,91,984075473,,,,,,,,,,,,,,"-1,8071794","-50,7129999",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Mocajuba,DPE,público,Jurídico,Regional,,Travessa,7 de Setembro,s/n,,,Centro,Mocajuba,1504604,PA,68420000,91,974001786,,,,,,,,,,,,,,"-2,5820284","-49,5080132",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Moju,DPE,público,Jurídico,Regional,,Rua,7 de Setembro,28,,,Centro,Moju,1504703,PA,68450000,91,985863724,,,,,,,,,,,,,,"-2,1509417","-48,7995122",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Monte Alegre,DPE,público,Jurídico,Regional,,Rua,Rui Barbosa,s/n,,,Cidade Alta,Monte Alegre,1504802,PA,68220000,91,984062431,,,,,,,,,,,,,,"-2,0008681","-54,0725145",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Muaná,DPE,público,Jurídico,Regional,,Rua,Cel. Rodrigo Lopes de Azevedo,306,,,Centro,Muaná,1504901,PA,68825000,91,984115663,,,,,,,,,,,,,,"-1,529785","-49,2185418",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Nova Timboteua,DPE,público,Jurídico,Regional,,Avenida,Barão do Rio Branco,2083,,,Centro,Nova Timboteua,1505007,PA,68730000,91,984042143,,,,,,,,,,,,,,"-1,2051631","-47,3871508",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Novo Progresso,DPE,público,Jurídico,Regional,,Rua,Tiradentes,608,,,Santa Luzia,Novo Progresso,1505031,PA,68193000,91,985861457,,,,,,,,,,,,,,"-7,042175200000001","-55,4125857",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Novo Repartimento,DPE,público,Jurídico,Regional,,Avenida,Cupuaçu,s/n,,,Morumbi,Novo Repartimento,1505064,PA,68473000,91,984091608,,,,,,,,,,,,,,"-4,2456211","-49,9526424",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Óbidos,DPE,público,Jurídico,Regional,,Rua,Marcos Rodrigues de Souza,282/360,,,Centro,Óbidos,1505106,PA,68580000,93,984312333,,,,,,,,,,,,,,"-1,9169843","-55,5165386",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Oriximiná,DPE,público,Jurídico,Regional,,Travessa,Carlos Maria Teixeira,753,,,Centro,Oriximiná,1505304,PA,68270000,93,984078607,,,,,,,,,,,,,,"-1,762928","-55,86520900000001",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Ourém,DPE,público,Jurídico,Regional,,,,,,,,Ourém,1505403,PA,,,,,,,,,,,,,,,,,,,
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Ourilândia do Norte,DPE,público,Jurídico,Regional,,Rua,21,,,Lotes I e II,Centro,Ourilândia do Norte,1505437,PA,68390000,91,984053182,,,,,,,,,,,,,,"-6,7484082","-51,0841553",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Paragominas,DPE,público,Jurídico,Regional,,Rua,Rio Finex,75,,,Centro,Paragominas,1505502,PA,68625045,91,981218708/(91)981548448,,,,,,,,,,,,,,"-3,0012947","-47,3538639",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Parauapebas,DPE,público,Jurídico,Regional,,Rua,C,500,,,Cidade Nova,Parauapebas,1505536,PA,68515000,94,993053900,,,,,,,,,,,,,,"-6,0654388","-49,9074328",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Ponta de Pedras,DPE,público,Jurídico,Regional,,Alameda,Tabelião José Luiz Tavares Malato,223,,,Centro,Ponta de Pedras,1505700,PA,68830000,91,984085363,,,,,,,,,,,,,,"-1,3910321","-48,8706971",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Portel,DPE,público,Jurídico,Regional,,Avenida,Augusto Montenegro,510,,,Mangueirão,Portel,1505809,PA,68480000,,,,,,,,,,,,,,,,"-1,3811815","-48,4482544",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Porto de Moz,DPE,público,Jurídico,Regional,,Rua,19 de Novembro,1610,,,Centro,Porto de Moz,1505908,PA,68330000,91,985861367,,,,,,,,,,,,,,"-1,757119","-52,2357216",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Prainha,DPE,público,Jurídico,Regional,,Rua,Barão do Rio Branco,s/n,,,Centro,Prainha,1506005,PA,68130000,93,984078757,,,,,,,,,,,,,,"-1,7246534","-48,8890164",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Redenção,DPE,público,Jurídico,Regional,,Avenida,Wilma Guimarães,336,,,Park Buritis II,Redenção,1506138,PA,68552765,94,981127069,,,,,,,,,,,,,,"-8,025432499999999","-50,0434371",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Rio Maria,DPE,público,Jurídico,Regional,,Avenida,22,s/n,,,Jardim Maringá,Rio Maria,1506161,PA,68530000,,,,,,,,,,,,,,,,"-7,3198191","-50,0510609",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Rondon do Pará,DPE,público,Jurídico,Regional,,Travessa,Moreira,65,,,Centro,Rondon do Pará,1506187,PA,68638000,91,985863531,,,,,,,,,,,,,,"-4,774045","-48,0734587",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Rurópolis,DPE,público,Jurídico,Regional,,Rua,José Rodrigues da Costa,557,,,Centro,Rurópolis,1506195,PA,68165000,93,991849595,,,,,,,,,,,,,,"-4,0982599","-54,90681559999999",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Salinópolis,DPE,público,Jurídico,Regional,,Avenida,João Pessoa,1084,,,Centro,Salinópolis,1506203,PA,68721000,91,984063084,,,,,,,,,,,,,,"-0,622254","-47,3458836",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Salvaterra,DPE,público,Jurídico,Regional,,Avenida,Victor Engelhard,12/52,,,Centro,Salvaterra,1506302,PA,68860000,91,985860952,,,,,,,,,,,,,,"-0,7602953","-48,5163492",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Santa Isabel do Pará,DPE,público,Jurídico,Regional,,Rua,Guilherme Azevedo,s/n,,,Centro,Santa Isabel do Pará,1506500,PA,68790000,91,37441229,,985107879,,,,,,,,,,,,"-1,3004088","-48,1631956",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Santa Luzia do Pará,DPE,público,Jurídico,Regional,,,,,,,,Santa Luzia do Pará,1506559,PA,,,,,,,,,,,,,,,,,,,
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - São Caetano de Odivelas,DPE,público,Jurídico,Regional,,,,,,,,São Caetano de Odivelas,1507102,PA,,,,,,,,,,,,,,,,,,,
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - São Domingos do Araguaia,DPE,público,Jurídico,Regional,,Avenida,Jarbas Passarinho,241,,,Centro,São Domingos do Araguaia,1507151,PA,68520000,94,981373051,,,,,,,,,,,,,,"-5,5366931","-48,73219539999999",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - São Félix do Xingu,DPE,público,Jurídico,Regional,,Rua,Constantino Viana,s/n,,,Centro,São Félix do Xingu,1507300,PA,68380000,94,974007963,,,,,,,,,,,,,,"-6,6452198","-51,9965455",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - São Geraldo do Araguaia,DPE,público,Jurídico,Regional,,Avenida,Presidente Vargas,323,,,Centro,São Geraldo do Araguaia,1507458,PA,68570000,94,994148316,,,,,,,,,,,,,,"-6,3954644","-48,5669671",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - São João do Araguaia,DPE,público,Jurídico,Regional,,Avenida,Luiz Lopes Ribeiro,s/n,,,Centro,São João do Araguaia,1507508,PA,68518000,91,984145178,,,,,,,,,,,,,,"-5,3605402","-48,7908458",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - São Miguel do Guamá,DPE,público,Jurídico,Regional,,Avenida,Nazaré,530,,,Olho D'água,São Miguel do Guamá,1507607,PA,,91,985862276,,,,,,,,,,,,,,"-1,6207808","-47,4864188","Atendimento Cível: Av. Lauro Sodré, s/n, Complexo Porto do Futuro."
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Soure,DPE,público,Jurídico,Regional,,Rua,1ª,s/n,,,Centro,Soure,1507904,PA,68870000,91,985860952,,,,,,,,,,,,,,"-0,7271445","-48,5333727",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Tailândia,DPE,público,Jurídico,Regional,,Avenida,Belém,8,,,Centro,Tailândia,1507953,PA,68695000,91,974007776,,,,,,,,,,,,,,"-3,771798","-49,563781",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Tomé-Açu,DPE,público,Jurídico,Regional,,Avenida,Três Poderes,153,,,Centro,Tomé-Açu,1508001,PA,68680000,,,,,,,,,,,,,,,,"-2,4205869","-48,1504875",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Tracuateua,DPE,público,Jurídico,Regional,,Rua,Doutor Roberto,695,,,Alegre,Tracuateua,1508035,PA,68600000,91,981568827,,,,,,,,,,,,,,"-1,0581501","-46,7678392",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Tucumã,DPE,público,Jurídico,Regional,,Rua,Manoel Maria Barros Costa,s/n,,,Centro,Tucumã,1508084,PA,68385000,,,,,,,,,,,,,,,,"-6,7523853","-51,15061499999999",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Tucuruí,DPE,público,Jurídico,Regional,,Avenida,Tancredo Neves,150,,,São Francisco,Tucuruí,1508100,PA,68460280,91,984048307,,984175082,,,,,,,,,,,,"-3,7560411","-49,6685407",Telefones alternativos: (94) 98119-3678 / (91) 98412-0732 / (94) 99272-1127.
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Ulianópolis,DPE,público,Jurídico,Regional,,Avenida,do Contorno,212/218,,,Caminho das Árvores,Ulianópolis,1508126,PA,68632000,,,,,,,,,,,,,,,,"-3,7423487","-47,5020162",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Vigia,DPE,público,Jurídico,Regional,,Avenida,Barão de Guajará,264,,,Castanheira,Vigia,1508209,PA,68780000,,,,,,,,,,,,,,,,"-0,8537583","-48,1391778",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Viseu,DPE,público,Jurídico,Regional,,Rua,Major Olímpio,235,,,Centro,Viseu,1508308,PA,68620000,91,985861246,,,,,,,,,,,,,,"-1,2062347","-46,1386914",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Vitória do Xingu,DPE,público,Jurídico,Regional,,Avenida,Manoel Félix Farias,536,,,Centro,Vitória do Xingu,1508357,PA,68383000,91,974008202,,,,,,,,,,,,,,"-2,8863366","-52,0126909",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado do Pará - Xinguara,DPE,público,Jurídico,Regional,,Avenida,Xingu,730,,,Centro,Xinguara,1508407,PA,68557016,91,985861522,,,,,,,,,,,,,,"-7,1052617","-49,9448404",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Araçatuba,DPE,público,Jurídico,Regional,,Rua,XV de Novembro,395,,,Centro,Araçatuba,3502804,SP,16010030,18,21024200,,,,,,,,,,,,,,"-21,2051269","-50,439662",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Araraquara,DPE,público,Jurídico,Regional,,Rua,São Bento,1725,,,Centro,Araraquara,3503208,SP,14801300,16,21089900,,,,,,,,,,,,,,"-21,7848649","-48,17772859999999",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Atendimento Inicial Cível,DPE,público,Jurídico,Regional,,Rua,Boa Vista,150,,,Centro,São Paulo,3550308,SP,01014000,,08007734340,,,,,,,,,,,,,,"-23,741038","-46,6577283",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Atendimento Inicial Criminal,DPE,público,Jurídico,Regional,,Avenida,Dr. Abraão Ribeiro,313,,Prédio anexo,Barra Funda,São Paulo,3550308,SP,01133020,11,28331212,,,,,,,,,,,,,,"-23,5213812","-46,65874669999999",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Atibaia,DPE,público,Jurídico,Regional,,Rua,Dr. José Roberto Paim,99,,,Parque dos Coqueiros,Atibaia,3504107,SP,12945007,11,44129688,,,,,,,,,,,,,,"-23,1095025","-46,5496057",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Avaré,DPE,público,Jurídico,Regional,,Rua,Bahia,410,,,Água Branca,Avaré,3504503,SP,18700090,14,21225220,,,,,,,,,,,,,,"-23,1073408","-48,9275153",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Barretos,DPE,público,Jurídico,Regional,,Rua,25 de Agosto,740,,,Exposição,Barretos,3505500,SP,14783044,17,33123900,,,,,,,,,,,,,,"-20,5627854","-48,5822726",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Bauru,DPE,público,Jurídico,Regional,,Avenida,Getúlio Vargas,21-59,,,Vila Aviação,Bauru,3506003,SP,17018000,14,21098219,,,,,,,,,,,,,,"-22,351309","-49,051189",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Bragança Paulista,DPE,público,Jurídico,Regional,,Avenida,dos Imigrantes,1501,,"1º andar, sala 240",Jardim América,Bragança Paulista,3507605,SP,12902000,11,40343414,,,,,,,,,,,,,,"-22,9590612","-46,5453015",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Butantã,DPE,público,Jurídico,Regional,,Avenida,Corifeu de Azevedo Marques,150,,Sl. 106,Butantã,São Paulo,3550308,SP,05582000,11,22935219,,,,,,,,,,,,,,"-23,5694912","-46,7163827",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Campinas,DPE,público,Jurídico,Regional,,Rua,Jorge Figueiredo Correa,1191/1219,,,Fazenda Taquaral,Campinas,3509502,SP,13087261,19,21157550,,,,,,,,,,,,,,"-22,8610335","-47,0475697",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Caraguatatuba,DPE,público,Jurídico,Regional,,Rua,Guaratinguetá,72,,,Sumaré,Caraguatatuba,3510500,SP,11661120,12,40098700,,,,,,,,,,,,,,"-23,6202995","-45,4000873",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Carapicuíba,DPE,público,Jurídico,Regional,,Avenida,Celeste,58,,,Centro,Carapicuíba,3510609,SP,06320030,11,28338710,,,,,,,,,,,,,,"-23,5202298","-46,8375236",
,penhas,conexoes_nudems_dpes,Defensoria Pública do Estado de São Paulo - Cidadania e Direitos Humanos (Núcleo Especializado),DPE,público,Jurídico,Regional,,Avenida,Liberdade,32,,3º andar,Liberdade,São Paulo,3550308,SP,01502000,11,34892676,,99965603,,,,,,,,,,,,"-23,5531896","-46,6350773",
