id,status,created_on,categoria,nome,sigla,natureza,owner,descricao,tipo_logradouro,nome_logradouro,numero,numero_sem_numero,complemento,bairro,municipio,uf,cep,ddd,telefone1,telefone2,email,horario_inicio,horario_fim,eh_24h,dias_funcionamento,eh_presencial,eh_online,funcionamento_pandemia,observacao_pandemia,avaliacao,latitude,longitude,ja_passou_por_moderacao,updated_at,observacao,qtde_avaliacao,horario_correto,delegacia_mulher,endereco_correto,telefone_correto,existe_delegacia,eh_importacao,cliente_id,indexed_at,test_status,index,geog.type,geog.coordinates,abrangencia,eh_whatsapp,ramal1,ramal2,cod_ibge,fonte
7060,active,2026-02-05T21:07:40.231979Z,583,Defensoria Pública do Estado do Pará - Conceição do Araguaia,DPE,publico,,,Avenida,Paes de Carvalho,1112,false,,Centro,Conceição do Araguaia,PA,68540000,91,985860887,985862820,,,,false,,false,false,false,,,-8.259269399999999,-49.2652371,,2026-02-05T21:07:40.231979Z,,,,,,,,true,,,,,,,Regional,false,,,1502707,conexoes_nudems_dpes
7061,active,2026-02-05T21:07:40.232001Z,583,Defensoria Pública do Estado do Pará - Concórdia do Pará,DPE,publico,,,Avenida,Costa e Silva,,true,,Centro,Concórdia do Pará,PA,68685000,91,993906937,,,,,false,,false,false,false,,,-1.9951722,-47.9454883,,2026-02-05T21:07:40.232001Z,,,,,,,,true,,,,,,,Regional,false,,,1502756,conexoes_nudems_dpes
7062,active,2026-02-05T21:07:40.232022Z,583,Defensoria Pública do Estado do Pará - Curionópolis,DPE,publico,,,Avenida,Brasil,,true,,Planalto,Curionópolis,PA,68523000,91,984120286,,,,,false,,false,false,false,,,-6.0985283,-49.6062042,,2026-02-05T21:07:40.232022Z,,,,,,,,true,,,,,,,Regional,false,,,1502772,conexoes_nudems_dpes
7063,active,2026-02-05T21:07:40.232044Z,583,Defensoria Pública do Estado do Pará - Curralinho,DPE,publico,,,Avenida,Floriano Peixoto,,true,,Centro,Curralinho,PA,68815000,91,984072733,,,,,false,,false,false,false,,,-3.1298957,-60.0206598,,2026-02-05T21:07:40.232044Z,,,,,,,,true,,,,,,,Regional,false,,,1502806,conexoes_nudems_dpes
7064,active,2026-02-05T21:07:40.232066Z,583,Defensoria Pública do Estado do Pará - Curuá,DPE,publico,,,Travessa,Santo Antônio,,true,,Centro,Curuá,PA,68200000,93,984039663,,,,,false,,false,false,false,,,-1.894196,-55.119651,,2026-02-05T21:07:40.232066Z,,,,,,,,true,,,,,,,Regional,false,,,1502855,conexoes_nudems_dpes
7065,active,2026-02-05T21:07:40.232088Z,583,Defensoria Pública do Estado do Pará - Curuçá,DPE,publico,,,Rua,Gonçalo Ferreira,,true,,Centro,Curuçá,PA,68750000,,,,,,,false,,false,false,false,,,-0.7276668,-47.8553054,,2026-02-05T21:07:40.232088Z,,,,,,,,true,,,,,,,Regional,false,,,1502905,conexoes_nudems_dpes
7066,active,2026-02-05T21:07:40.232112Z,583,Defensoria Pública do Estado do Pará - Dom Eliseu,DPE,publico,,,Rua,Jequié,,true,,Esplanada,Dom Eliseu,PA,68633000,91,993155543,,,,,false,,false,false,false,,,-4.2983628,-47.5558202,,2026-02-05T21:07:40.232112Z,,,,,,,,true,,,,,,,Regional,false,,,1502939,conexoes_nudems_dpes
7067,active,2026-02-05T21:07:40.232134Z,583,Defensoria Pública do Estado do Pará - Eldorado dos Carajás,DPE,publico,,,Rua,Oziel Carneiro,,true,,Centro,Eldorado dos Carajás,PA,68524000,,,,,,,false,,false,false,false,,,-6.1044639,-49.3763102,,2026-02-05T21:07:40.232134Z,,,,,,,,true,,,,,,,Regional,false,,,1502954,conexoes_nudems_dpes
7068,active,2026-02-05T21:07:40.232156Z,583,Defensoria Pública do Estado do Pará - Goianésia do Pará,DPE,publico,,,Praça,da Bíblia,,true,,Colegial,Goianésia do Pará,PA,68639000,91,984045474,,,,,false,,false,false,false,,,-3.8400702,-49.10107259999999,,2026-02-05T21:07:40.232156Z,,,,,,,,true,,,,,,,Regional,false,,,1503093,conexoes_nudems_dpes
7069,active,2026-02-05T21:07:40.232178Z,583,Defensoria Pública do Estado do Pará - Igarapé-Açu,DPE,publico,,,Avenida,Barão do Rio Branco,,true,,Centro,Igarapé-Açu,PA,68725000,,,,,,,false,,false,false,false,,,-10.4337315,-36.5380181,,2026-02-05T21:07:40.232178Z,,,,,,,,true,,,,,,,Regional,false,,,1503200,conexoes_nudems_dpes
7070,active,2026-02-05T21:07:40.232211Z,583,Defensoria Pública do Estado do Pará - Igarapé-Miri,DPE,publico,,,Travessa,Quintino Bocaiúva,,true,,Centro,Igarapé-Miri,PA,68130000,91,974007560,,,,,false,,false,false,false,,,-1.9845976,-48.960508,,2026-02-05T21:07:40.232211Z,,,,,,,,true,,,,,,,Regional,false,,,1503309,conexoes_nudems_dpes
7071,active,2026-02-05T21:07:40.232234Z,583,Defensoria Pública do Estado do Pará - Ipixuna do Pará,DPE,publico,,,Avenida,Presidente Vargas,,true,,Centro,Ipixuna do Pará,PA,68637000,,,,,,,false,,false,false,false,,,-2.5522883,-47.498605,,2026-02-05T21:07:40.232234Z,,,,,,,,true,,,,,,,Regional,false,,,1503457,conexoes_nudems_dpes
7072,active,2026-02-05T21:07:40.232256Z,583,Defensoria Pública do Estado do Pará - Itaituba,DPE,publico,,,Avenida,Manfredo Barata,788,false,,Aeroporto Velho,Itaituba,PA,68181005,93,984086597,,,,,false,,false,false,false,,,-4.2786167,-55.9926705,,2026-02-05T21:07:40.232256Z,,,,,,,,true,,,,,,,Regional,false,,,1503606,conexoes_nudems_dpes
7073,active,2026-02-05T21:07:40.232278Z,583,Defensoria Pública do Estado do Pará - Itupiranga,DPE,publico,,,Rua,São Salvador,194,false,,Centro,Itupiranga,PA,68580000,91,985654415,,,,,false,,false,false,false,,,-5.134441199999999,-49.3304542,,2026-02-05T21:07:40.232278Z,,,,,,,,true,,,,,,,Regional,false,,,1503705,conexoes_nudems_dpes
7074,active,2026-02-05T21:07:40.232300Z,583,Defensoria Pública do Estado do Pará - Jacundá,DPE,publico,,,Rua,Teotônio Vilela,45,false,,Centro,Jacundá,PA,68590000,,,,,,,false,,false,false,false,,,-4.446278,-49.1143779,,2026-02-05T21:07:40.232300Z,,,,,,,,true,,,,,,,Regional,false,,,1503804,conexoes_nudems_dpes
7075,active,2026-02-05T21:07:40.232322Z,583,Defensoria Pública do Estado do Pará - Juruti,DPE,publico,,,Travessa,Boa Ventura Bentes,528,false,,Centro,Juruti,PA,68170000,93,984078607,,,,,false,,false,false,false,,,-2.1633411,-56.0952985,,2026-02-05T21:07:40.232322Z,,,,,,,,true,,,,,,,Regional,false,,,1503903,conexoes_nudems_dpes
7076,active,2026-02-05T21:07:40.232344Z,583,Defensoria Pública do Estado do Pará - Limoeiro do Ajuru,DPE,publico,,,Rua, ,,true,, ,Limoeiro do Ajuru,PA, ,,,,,,,false,,false,false,false,,,,,,2026-02-05T21:07:40.232344Z,,,,,,,,true,,,,,,,Regional,false,,,1504000,conexoes_nudems_dpes
7077,active,2026-02-05T21:07:40.232362Z,583,Defensoria Pública do Estado do Pará - Mãe do Rio,DPE,publico,,,Travessa,Alfredo Chaves,610,false,,Centro,Mãe do Rio,PA,68675000,,,,,,,false,,false,false,false,,,-2.043037,-47.551934,,2026-02-05T21:07:40.232362Z,,,,,,,,true,,,,,,,Regional,false,,,1504059,conexoes_nudems_dpes
7078,active,2026-02-05T21:07:40.232382Z,583,Defensoria Pública do Estado do Pará - Magalhães Barata,DPE,publico,,,Avenida,Barão do Rio Branco,,true,,Centro,Magalhães Barata,PA,68725000,,,,,,,false,,false,false,false,,,-0.7988426,-47.6019453,,2026-02-05T21:07:40.232382Z,,,,,,,,true,,,,,,,Regional,false,,,1504109,conexoes_nudems_dpes
7079,active,2026-02-05T21:07:40.232404Z,583,Defensoria Pública do Estado do Pará - Marabá,DPE,publico,,,Rodovia,BR 230,,true,Km 01,Amapá,Marabá,PA,68502700,94,21038000,981373051,,,,false,,false,false,false,,,-5.3730591,-49.1369998,,2026-02-05T21:07:40.232404Z,,,,,,,,true,,,,,,,Regional,false,,,1504208,conexoes_nudems_dpes
7080,active,2026-02-05T21:07:40.232425Z,583,Defensoria Pública do Estado do Pará - Melgaço,DPE,publico,,,Rua,12 de Outubro,,true,,Centro,Melgaço,PA,68490000,91,984075473,,,,,false,,false,false,false,,,-1.8071794,-50.7129999,,2026-02-05T21:07:40.232425Z,,,,,,,,true,,,,,,,Regional,false,,,1504505,conexoes_nudems_dpes
7081,active,2026-02-05T21:07:40.232447Z,583,Defensoria Pública do Estado do Pará - Mocajuba,DPE,publico,,,Travessa,7 de Setembro,,true,,Centro,Mocajuba,PA,68420000,91,974001786,,,,,false,,false,false,false,,,-2.5820284,-49.5080132,,2026-02-05T21:07:40.232447Z,,,,,,,,true,,,,,,,Regional,false,,,1504604,conexoes_nudems_dpes
7082,active,2026-02-05T21:07:40.232469Z,583,Defensoria Pública do Estado do Pará - Moju,DPE,publico,,,Rua,7 de Setembro,28,false,,Centro,Moju,PA,68450000,91,985863724,,,,,false,,false,false,false,,,-2.1509417,-48.7995122,,2026-02-05T21:07:40.232469Z,,,,,,,,true,,,,,,,Regional,false,,,1504703,conexoes_nudems_dpes
7083,active,2026-02-05T21:07:40.232490Z,583,Defensoria Pública do Estado do Pará - Monte Alegre,DPE,publico,,,Rua,Rui Barbosa,,true,,Cidade Alta,Monte Alegre,PA,68220000,91,984062431,,,,,false,,false,false,false,,,-2.0008681,-54.0725145,,2026-02-05T21:07:40.232490Z,,,,,,,,true,,,,,,,Regional,false,,,1504802,conexoes_nudems_dpes
7084,active,2026-02-05T21:07:40.232512Z,583,Defensoria Pública do Estado do Pará - Muaná,DPE,publico,,,Rua,Cel. Rodrigo Lopes de Azevedo,306,false,,Centro,Muaná,PA,68825000,91,984115663,,,,,false,,false,false,false,,,-1.529785,-49.2185418,,2026-02-05T21:07:40.232512Z,,,,,,,,true,,,,,,,Regional,false,,,1504901,conexoes_nudems_dpes
7085,active,2026-02-05T21:07:40.232533Z,583,Defensoria Pública do Estado do Pará - Nova Timboteua,DPE,publico,,,Avenida,Barão do Rio Branco,2083,false,,Centro,Nova Timboteua,PA,68730000,91,984042143,,,,,false,,false,false,false,,,-1.2051631,-47.3871508,,2026-02-05T21:07:40.232533Z,,,,,,,,true,,,,,,,Regional,false,,,1505007,conexoes_nudems_dpes
7086,active,2026-02-05T21:07:40.232555Z,583,Defensoria Pública do Estado do Pará - Novo Progresso,DPE,publico,,,Rua,Tiradentes,608,false,,Santa Luzia,Novo Progresso,PA,68193000,91,985861457,,,,,false,,false,false,false,,,-7.042175200000001,-55.4125857,,2026-02-05T21:07:40.232555Z,,,,,,,,true,,,,,,,Regional,false,,,1505031,conexoes_nudems_dpes
7087,active,2026-02-05T21:07:40.232578Z,583,Defensoria Pública do Estado do Pará - Novo Repartimento,DPE,publico,,,Avenida,Cupuaçu,,true,,Morumbi,Novo Repartimento,PA,68473000,91,984091608,,,,,false,,false,false,false,,,-4.2456211,-49.9526424,,2026-02-05T21:07:40.232578Z,,,,,,,,true,,,,,,,Regional,false,,,1505064,conexoes_nudems_dpes
7088,active,2026-02-05T21:07:40.232602Z,583,Defensoria Pública do Estado do Pará - Óbidos,DPE,publico,,,Rua,Marcos Rodrigues de Souza,282,false,,Centro,Óbidos,PA,68580000,93,984312333,,,,,false,,false,false,false,,,-1.9169843,-55.5165386,,2026-02-05T21:07:40.232602Z,,,,,,,,true,,,,,,,Regional,false,,,1505106,conexoes_nudems_dpes
7089,active,2026-02-05T21:07:40.232626Z,583,Defensoria Pública do Estado do Pará - Oriximiná,DPE,publico,,,Travessa,Carlos Maria Teixeira,753,false,,Centro,Oriximiná,PA,68270000,93,984078607,,,,,false,,false,false,false,,,-1.762928,-55.86520900000001,,2026-02-05T21:07:40.232626Z,,,,,,,,true,,,,,,,Regional,false,,,1505304,conexoes_nudems_dpes
7090,active,2026-02-05T21:07:40.232648Z,583,Defensoria Pública do Estado do Pará - Ourém,DPE,publico,,,Rua, ,,true,, ,Ourém,PA, ,,,,,,,false,,false,false,false,,,,,,2026-02-05T21:07:40.232648Z,,,,,,,,true,,,,,,,Regional,false,,,1505403,conexoes_nudems_dpes
7091,active,2026-02-05T21:07:40.232668Z,583,Defensoria Pública do Estado do Pará - Ourilândia do Norte,DPE,publico,,,Rua,21,,true,Lotes I e II,Centro,Ourilândia do Norte,PA,68390000,91,984053182,,,,,false,,false,false,false,,,-6.7484082,-51.0841553,,2026-02-05T21:07:40.232668Z,,,,,,,,true,,,,,,,Regional,false,,,1505437,conexoes_nudems_dpes
7092,active,2026-02-05T21:07:40.232690Z,583,Defensoria Pública do Estado do Pará - Paragominas,DPE,publico,,,Rua,Rio Finex,75,false,,Centro,Paragominas,PA,68625045,91,,,,,,false,,false,false,false,,,-3.0012947,-47.3538639,,2026-02-05T21:07:40.232690Z,,,,,,,,true,,,,,,,Regional,false,,,1505502,conexoes_nudems_dpes
7093,active,2026-02-05T21:07:40.232713Z,583,Defensoria Pública do Estado do Pará - Parauapebas,DPE,publico,,,Rua,C,500,false,,Cidade Nova,Parauapebas,PA,68515000,94,993053900,,,,,false,,false,false,false,,,-6.0654388,-49.9074328,,2026-02-05T21:07:40.232713Z,,,,,,,,true,,,,,,,Regional,false,,,1505536,conexoes_nudems_dpes
7094,active,2026-02-05T21:07:40.232735Z,583,Defensoria Pública do Estado do Pará - Ponta de Pedras,DPE,publico,,,Alameda,Tabelião José Luiz Tavares Malato,223,false,,Centro,Ponta de Pedras,PA,68830000,91,984085363,,,,,false,,false,false,false,,,-1.3910321,-48.8706971,,2026-02-05T21:07:40.232735Z,,,,,,,,true,,,,,,,Regional,false,,,1505700,conexoes_nudems_dpes
7095,active,2026-02-05T21:07:40.232757Z,583,Defensoria Pública do Estado do Pará - Portel,DPE,publico,,,Avenida,Augusto Montenegro,510,false,,Mangueirão,Portel,PA,68480000,,,,,,,false,,false,false,false,,,-1.3811815,-48.4482544,,2026-02-05T21:07:40.232757Z,,,,,,,,true,,,,,,,Regional,false,,,1505809,conexoes_nudems_dpes
7096,active,2026-02-05T21:07:40.232778Z,583,Defensoria Pública do Estado do Pará - Porto de Moz,DPE,publico,,,Rua,19 de Novembro,1610,false,,Centro,Porto de Moz,PA,68330000,91,985861367,,,,,false,,false,false,false,,,-1.757119,-52.2357216,,2026-02-05T21:07:40.232778Z,,,,,,,,true,,,,,,,Regional,false,,,1505908,conexoes_nudems_dpes
7097,active,2026-02-05T21:07:40.232800Z,583,Defensoria Pública do Estado do Pará - Prainha,DPE,publico,,,Rua,Barão do Rio Branco,,true,,Centro,Prainha,PA,68130000,93,984078757,,,,,false,,false,false,false,,,-1.7246534,-48.8890164,,2026-02-05T21:07:40.232800Z,,,,,,,,true,,,,,,,Regional,false,,,1506005,conexoes_nudems_dpes
7098,active,2026-02-05T21:07:40.232821Z,583,Defensoria Pública do Estado do Pará - Redenção,DPE,publico,,,Avenida,Wilma Guimarães,336,false,,Park Buritis II,Redenção,PA,68552765,94,981127069,,,,,false,,false,false,false,,,-8.025432499999999,-50.0434371,,2026-02-05T21:07:40.232821Z,,,,,,,,true,,,,,,,Regional,false,,,1506138,conexoes_nudems_dpes
7099,active,2026-02-05T21:07:40.232843Z,583,Defensoria Pública do Estado do Pará - Rio Maria,DPE,publico,,,Avenida,22,,true,,Jardim Maringá,Rio Maria,PA,68530000,,,,,,,false,,false,false,false,,,-7.3198191,-50.0510609,,2026-02-05T21:07:40.232843Z,,,,,,,,true,,,,,,,Regional,false,,,1506161,conexoes_nudems_dpes
7100,active,2026-02-05T21:07:40.232865Z,583,Defensoria Pública do Estado do Pará - Rondon do Pará,DPE,publico,,,Travessa,Moreira,65,false,,Centro,Rondon do Pará,PA,68638000,91,985863531,,,,,false,,false,false,false,,,-4.774045,-48.0734587,,2026-02-05T21:07:40.232865Z,,,,,,,,true,,,,,,,Regional,false,,,1506187,conexoes_nudems_dpes
7101,active,2026-02-05T21:07:40.232888Z,583,Defensoria Pública do Estado do Pará - Rurópolis,DPE,publico,,,Rua,José Rodrigues da Costa,557,false,,Centro,Rurópolis,PA,68165000,93,991849595,,,,,false,,false,false,false,,,-4.0982599,-54.90681559999999,,2026-02-05T21:07:40.232888Z,,,,,,,,true,,,,,,,Regional,false,,,1506195,conexoes_nudems_dpes
7102,active,2026-02-05T21:07:40.232914Z,583,Defensoria Pública do Estado do Pará - Salinópolis,DPE,publico,,,Avenida,João Pessoa,1084,false,,Centro,Salinópolis,PA,68721000,91,984063084,,,,,false,,false,false,false,,,-0.622254,-47.3458836,,2026-02-05T21:07:40.232914Z,,,,,,,,true,,,,,,,Regional,false,,,1506203,conexoes_nudems_dpes
7103,active,2026-02-05T21:07:40.232936Z,583,Defensoria Pública do Estado do Pará - Salvaterra,DPE,publico,,,Avenida,Victor Engelhard,12,false,,Centro,Salvaterra,PA,68860000,91,985860952,,,,,false,,false,false,false,,,-0.7602953,-48.5163492,,2026-02-05T21:07:40.232936Z,,,,,,,,true,,,,,,,Regional,false,,,1506302,conexoes_nudems_dpes
7104,active,2026-02-05T21:07:40.232958Z,583,Defensoria Pública do Estado do Pará - Santa Isabel do Pará,DPE,publico,,,Rua,Guilherme Azevedo,,true,,Centro,Santa Isabel do Pará,PA,68790000,91,37441229,985107879,,,,false,,false,false,false,,,-1.3004088,-48.1631956,,2026-02-05T21:07:40.232958Z,,,,,,,,true,,,,,,,Regional,false,,,1506500,conexoes_nudems_dpes
7105,active,2026-02-05T21:07:40.233175Z,583,Defensoria Pública do Estado do Pará - Santa Luzia do Pará,DPE,publico,,,Rua, ,,true,, ,Santa Luzia do Pará,PA, ,,,,,,,false,,false,false,false,,,,,,2026-02-05T21:07:40.233175Z,,,,,,,,true,,,,,,,Regional,false,,,1506559,conexoes_nudems_dpes
7106,active,2026-02-05T21:07:40.233207Z,583,Defensoria Pública do Estado do Pará - São Caetano de Odivelas,DPE,publico,,,Rua, ,,true,, ,São Caetano de Odivelas,PA, ,,,,,,,false,,false,false,false,,,,,,2026-02-05T21:07:40.233207Z,,,,,,,,true,,,,,,,Regional,false,,,1507102,conexoes_nudems_dpes
7107,active,2026-02-05T21:07:40.233230Z,583,Defensoria Pública do Estado do Pará - São Domingos do Araguaia,DPE,publico,,,Avenida,Jarbas Passarinho,241,false,,Centro,São Domingos do Araguaia,PA,68520000,94,981373051,,,,,false,,false,false,false,,,-5.5366931,-48.73219539999999,,2026-02-05T21:07:40.233230Z,,,,,,,,true,,,,,,,Regional,false,,,1507151,conexoes_nudems_dpes
